X,Y,施設名,施設名かな,施設名（施設名かな）,所在地,地区名,詳細情報,カテゴリ,アイコン番号,施設ID
135.520352,34.69310311,毛馬桜之宮公園　公衆トイレ１,けまさくらのみやこうえん　こうしゅうといれ１,毛馬桜之宮公園　公衆トイレ１（けまさくらのみやこうえん　こうしゅうといれ１）,,北区,,公衆トイレ/車いす対応公衆便所,209,29325
135.5144278,34.69393292,滝川公園　公衆トイレ,たきがわこうえん　こうしゅうといれ,滝川公園　公衆トイレ（たきがわこうえん　こうしゅうといれ）,,北区,,公衆トイレ/車いす対応公衆便所,209,29482
135.5237827,34.69557889,毛馬桜之宮公園　公衆トイレ２,けまさくらのみやこうえん　こうしゅうといれ２,毛馬桜之宮公園　公衆トイレ２（けまさくらのみやこうえん　こうしゅうといれ２）,,都島区,,公衆トイレ/車いす対応公衆便所,209,29337
135.5621445,34.67567942,東深江公園　公衆トイレ,ひがしふかえこうえん　こうしゅうといれ,東深江公園　公衆トイレ（ひがしふかえこうえん　こうしゅうといれ）,,東成区,,公衆トイレ/車いす対応公衆便所,209,29618
135.5477913,34.67770175,神路公園　公衆トイレ,かみじこうえん　こうしゅうといれ,神路公園　公衆トイレ（かみじこうえん　こうしゅうといれ）,,東成区,,公衆トイレ/車いす対応公衆便所,209,29614
135.5656473,34.69769636,鶴見中央公園　公衆トイレ,つるみちゅうおうこうえん　こうしゅうといれ,鶴見中央公園　公衆トイレ（つるみちゅうおうこうえん　こうしゅうといれ）,,鶴見区,,公衆トイレ/車いす対応公衆便所,209,29629
135.5696924,34.69136958,今津中公園　公衆トイレ１,いまづなかこうえん　こうしゅうといれ１,今津中公園　公衆トイレ１（いまづなかこうえん　こうしゅうといれ１）,,鶴見区,,公衆トイレ/車いす対応公衆便所,209,29624
135.5710789,34.691059,今津中公園　公衆トイレ２,いまづなかこうえん　こうしゅうといれ２,今津中公園　公衆トイレ２（いまづなかこうえん　こうしゅうといれ２）,,鶴見区,,公衆トイレ/車いす対応公衆便所,209,29625
135.4251658,34.70028019,中島公園　公衆トイレ１,なかじまこうえん　こうしゅうといれ１,中島公園　公衆トイレ１（なかじまこうえん　こうしゅうといれ１）,,西淀川区,,公衆トイレ/車いす対応公衆便所,209,29580
135.4453415,34.69801656,福町東公園　公衆トイレ,ふくまちひがしこうえん　こうしゅうといれ,福町東公園　公衆トイレ（ふくまちひがしこうえん　こうしゅうといれ）,,西淀川区,,公衆トイレ/車いす対応公衆便所,209,29585
